200
0	1	53
0	2	34
0	9	2
0	10	1
0	13	1
0	15	2
0	20	1
0	22	1
0	23	1
1	2	48
1	3	3
1	4	2
1	5	2
1	6	2
1	9	1
1	10	3
1	13	2
1	15	2
1	16	1
2	3	4
2	5	1
2	6	1
2	8	1
2	9	4
2	10	3
2	12	1
2	15	3
2	16	1
2	26	1
3	4	79
3	5	2
3	6	4
3	7	2
3	8	1
3	9	3
3	10	4
3	11	3
3	12	2
3	13	7
3	15	1
3	16	45
3	20	2
3	21	3
3	28	1
4	5	2
4	8	1
4	9	3
4	10	3
4	11	1
4	12	3
4	13	7
4	16	44
4	20	1
4	21	1
4	23	1
4	26	1
5	6	107
5	7	14
5	8	11
5	10	2
5	14	1
5	26	3
5	27	1
5	28	1
6	7	24
6	8	14
6	9	1
6	14	1
6	21	3
6	26	3
6	27	1
6	35	1
7	8	8
7	9	1
7	10	3
7	11	1
7	14	1
8	10	1
8	26	6
8	33	1
9	10	74
9	11	1
9	13	5
9	15	3
9	27	1
10	11	1
10	13	7
10	15	1
10	28	1
11	13	1
11	14	1
11	24	1
12	13	96
12	14	1
12	16	1
12	37	2
12	38	2
12	39	2
13	14	2
13	16	6
13	25	1
13	37	2
13	38	2
13	39	2
14	15	4
15	16	4
15	19	1
15	26	1
16	20	2
16	21	4
16	22	1
16	23	3
17	18	32
17	19	18
18	19	9
18	30	1
19	21	1
19	22	1
19	26	1
19	30	1
20	21	22
20	22	31
20	23	13
21	22	34
21	23	34
21	27	1
21	28	2
22	23	15
22	25	1
22	27	1
23	27	1
24	25	18
24	30	2
24	31	1
25	31	1
26	31	1
26	33	1
26	37	1
26	41	1
26	44	1
26	51	2
27	28	88
27	29	1
27	30	1
27	31	1
27	33	2
28	30	1
28	31	1
28	33	1
29	30	50
29	31	2
29	36	1
29	41	1
30	31	3
30	34	29
30	36	2
30	37	2
30	39	1
30	41	2
30	42	1
30	43	1
31	32	1
31	33	3
32	33	29
32	36	1
33	36	1
33	37	1
33	38	1
33	39	1
34	35	4
35	41	1
37	38	37
37	39	2
37	42	1
38	39	4
38	41	1
38	42	2
38	43	1
39	41	1
40	41	46
40	78	1
41	43	1
41	46	1
41	49	1
41	57	1
42	43	43
44	45	108
44	55	1
45	47	2
45	60	1
45	77	1
45	78	1
46	48	1
47	48	41
47	53	1
47	62	1
47	63	1
47	67	1
48	53	1
48	56	1
49	50	20
51	52	7
53	54	61
53	55	64
53	57	1
53	81	1
54	55	23
54	81	1
57	72	1
57	85	2
57	91	1
57	97	1
57	100	1
57	101	1
57	102	1
58	59	6
58	60	12
58	61	2
58	62	2
58	63	2
58	65	8
58	66	2
58	67	1
58	68	6
58	69	1
58	70	4
58	71	13
58	73	2
58	74	1
58	75	1
58	76	3
58	79	2
58	82	1
59	60	2
59	61	30
59	62	4
59	63	6
59	64	3
59	66	21
59	67	5
59	70	1
59	71	2
59	72	2
59	79	2
59	80	1
60	61	2
60	62	2
60	63	2
60	65	1
60	66	4
60	67	1
60	68	1
60	71	5
60	72	1
60	75	3
60	79	2
60	81	1
61	62	1
61	63	1
61	64	3
61	65	8
61	66	11
61	67	1
61	68	3
61	70	2
61	71	2
61	75	2
61	76	1
61	79	5
61	80	1
61	81	1
62	63	6
62	64	10
62	65	4
62	66	4
62	67	7
62	68	1
62	69	2
62	71	2
62	72	2
62	78	1
62	79	5
63	64	19
63	65	16
63	66	9
63	67	46
63	68	4
63	72	1
63	74	1
63	75	1
63	77	2
63	80	18
63	81	1
63	87	1
64	65	1
64	66	2
64	67	25
64	76	1
64	79	1
64	80	18
64	81	1
65	66	4
65	67	8
65	68	3
65	70	4
65	71	2
65	72	1
65	73	1
65	74	2
65	75	2
65	76	3
65	78	1
65	79	6
65	87	1
66	67	10
66	68	3
66	69	1
66	70	4
66	71	5
66	72	3
66	78	1
66	79	6
66	87	1
67	68	3
67	71	1
67	72	2
67	74	1
67	77	1
67	78	1
67	80	22
67	81	2
67	83	1
68	69	6
68	70	19
68	71	4
68	72	2
68	74	2
68	75	14
68	76	5
68	77	1
68	79	1
68	81	1
68	83	1
68	87	1
69	70	16
69	71	1
69	72	1
69	73	4
69	75	1
69	76	1
69	79	1
70	71	5
70	72	1
70	73	6
70	75	7
70	76	9
70	79	3
70	87	1
71	72	2
71	73	1
71	75	2
71	76	5
71	79	6
71	82	1
71	83	1
71	87	1
72	74	11
72	75	12
72	76	1
72	77	22
72	78	19
72	81	1
72	102	1
73	74	1
73	75	1
73	76	14
73	80	2
73	87	1
74	75	10
74	77	17
74	78	23
75	76	3
75	77	9
75	78	5
75	80	1
75	81	1
76	79	1
77	78	43
77	80	1
77	81	1
77	83	1
77	88	1
78	79	1
79	80	1
82	83	40
83	93	1
84	85	16
84	86	31
84	89	2
84	100	1
84	104	1
85	86	60
85	100	1
86	88	3
86	94	1
86	98	1
86	100	1
87	88	1
87	90	1
87	91	1
87	97	1
87	100	1
87	101	1
87	106	1
88	89	33
88	90	14
88	91	8
88	92	12
88	93	5
88	94	17
88	95	6
88	96	3
88	97	8
88	98	9
88	99	2
88	100	28
88	101	13
88	102	1
88	103	5
88	107	1
89	90	11
89	91	10
89	92	15
89	93	10
89	94	15
89	95	13
89	96	5
89	97	8
89	98	17
89	99	1
89	100	16
89	101	9
89	107	1
90	91	6
90	92	4
90	93	7
90	94	24
